# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz];Trc1_S11[dB];
3.880000000000000E+009;-1.059422044966039E+001;
3.925000000000000E+009;-5.614836414159379E+000;
3.970000000000000E+009;-3.698420006344039E+000;
4.015000000000000E+009;-2.883072546161098E+000;
4.060000000000000E+009;-2.524581068758681E+000;
4.105000000000000E+009;-2.398278455080610E+000;
4.150000000000000E+009;-2.430813275268976E+000;
4.195000000000000E+009;-2.606101783187229E+000;
4.240000000000000E+009;-2.896773281368939E+000;
4.285000000000000E+009;-3.432351638837043E+000;
4.330000000000000E+009;-4.404848075892808E+000;
4.375000000000000E+009;-6.308373842471577E+000;
4.420000000000000E+009;-1.002856404439959E+001;
4.465000000000000E+009;-1.381999469307345E+001;
4.510000000000000E+009;-1.035267527493792E+001;
4.555000000000000E+009;-7.671769757108272E+000;
4.600000000000000E+009;-6.649289946909227E+000;
4.645000000000000E+009;-6.562378305458170E+000;
4.690000000000000E+009;-7.594724626527320E+000;
4.735000000000000E+009;-1.081873748931726E+001;
4.780000000000000E+009;-2.097044266594335E+001;
4.825000000000000E+009;-1.308432550709815E+001;
4.870000000000000E+009;-7.372384594700304E+000;
4.915000000000000E+009;-4.985166223346976E+000;
4.960000000000000E+009;-3.770789830785165E+000;
5.005000000000000E+009;-3.077322200149928E+000;
5.050000000000000E+009;-2.644694554104594E+000;
5.095000000000000E+009;-2.345580968832065E+000;
5.140000000000000E+009;-2.150516025767588E+000;
5.185000000000000E+009;-2.016190794217223E+000;
5.230000000000000E+009;-1.917808769533280E+000;
5.275000000000000E+009;-1.848026033928530E+000;
5.320000000000000E+009;-1.823300922706558E+000;
5.365000000000000E+009;-1.819667643873176E+000;
5.410000000000000E+009;-1.823152332065767E+000;
5.455000000000000E+009;-1.872347859448322E+000;
5.500000000000000E+009;-1.935024299891912E+000;
5.545000000000000E+009;-2.008073900953876E+000;
5.590000000000000E+009;-2.102125465174542E+000;
5.635000000000000E+009;-2.228777264751896E+000;
5.680000000000000E+009;-2.396368199761076E+000;
5.725000000000000E+009;-2.619086567994591E+000;
5.770000000000000E+009;-2.891358717875535E+000;
5.815000000000000E+009;-3.260586450198272E+000;
5.860000000000000E+009;-3.799311968719471E+000;
5.905000000000000E+009;-4.594089795932426E+000;
5.950000000000000E+009;-5.892621929781688E+000;
5.995000000000000E+009;-8.388154252984171E+000;
6.040000000000000E+009;-1.409453234272170E+001;
6.085000000000000E+009;-2.502670452982085E+001;
6.130000000000000E+009;-1.299868598077567E+001;
6.175000000000000E+009;-9.264152996286617E+000;
6.220000000000000E+009;-7.612069640477138E+000;
6.265000000000000E+009;-6.587652702070976E+000;
6.310000000000000E+009;-5.917566897045118E+000;
6.355000000000000E+009;-5.462035781822426E+000;
6.400000000000000E+009;-5.161454752543690E+000;
6.445000000000000E+009;-5.040653079303679E+000;
6.490000000000000E+009;-5.097869151176189E+000;
6.535000000000000E+009;-5.372033720157713E+000;
6.580000000000000E+009;-5.876226816762898E+000;
6.625000000000000E+009;-6.803075615118540E+000;
6.670000000000000E+009;-8.352176276335273E+000;
6.715000000000000E+009;-1.084607458898937E+001;
6.760000000000000E+009;-1.554447616244991E+001;
6.805000000000000E+009;-1.897842674956583E+001;
6.850000000000000E+009;-1.242795471339021E+001;
